Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan;Bahasa
Apel;1.3;4.0;38;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Aprikot;2.0;10.0;1926;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Alpukat;6.7;10.0;146;Buah;0;0;1;0;Kardiovaskular, Kolesterol;Indonesia
Pisang;2.6;8.7;64;Buah;0;1;1;1;Masalah Pencernaan, Energi;Indonesia
Kambunting (Blackberry);5.3;21.0;214;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Bluberi (Blueberry);2.4;9.7;54;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Belimbing;2.8;34.4;61;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Srikaya;3.0;12.6;5;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Ceri;2.1;7.0;64;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Jeruk Clementine;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kranberi (Cranberry);4.6;13.3;60;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kismis Hitam (Blackcurrant);0.0;181.0;230;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kismis Merah dan Putih;4.3;41.0;42;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kurma Deglet Noor;8.0;0.4;10;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kurma Medjool;6.7;0.0;149;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Durian;3.8;19.7;44;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Gbr. Segar (Buah Tin);2.9;2.0;142;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Jeruk Bali Merah;1.6;31.2;1150;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Jeruk Bali Putih;1.1;33.3;33;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Anggur Merah atau Hijau;0.9;10.8;66;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Ciplukan;0.0;11.0;720;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Jambu Biji;5.4;228.3;624;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Melaka (Gooseberry);4.3;27.7;290;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Nangka;1.6;6.7;297;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Kiwifruit Emas;2.0;105.4;72;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kiwifruit Hijau;3.0;92.7;87;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Jeruk Kumkuat;6.5;43.9;290;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Lemon dengan Kulit;4.7;77.0;30;Buah;-1;1;-1;0;Imunitas, Vitamin C;Indonesia
Jeruk Nipis;2.8;29.1;50;Buah;-1;1;-1;0;Imunitas, Vitamin C;Indonesia
Leci;1.3;71.5;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Mandarin-Clementine;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;
Jeruk Keprok (Tangerine);1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Mangga;1.8;27.7;765;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Melon Cantaloupe (Blewah);0.9;36.7;3382;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Melon Casaba;0.9;21.8;0;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Melon Honeydew;0.8;18.0;50;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Murbei Segar;1.7;36.4;25;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Nektarin;1.7;5.4;332;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Jeruk Manis;2.4;53.2;225;Buah;-1;1;-1;0;Imunitas, Vitamin C;Indonesia
Pepaya;1.8;61.8;1094;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Markisa;10.4;30.0;1272;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Persik (Peach);1.5;6.6;326;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Pir;3.1;4.2;23;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kesemek Kesemek;0.0;66.0;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Nanas;1.4;47.8;58;Buah;1;0;-1;1;Pencernaan, Anti-inflamasi;Indonesia
Plum;1.4;9.5;345;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Delima;4.0;10.2;0;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Buah Quince;1.9;15.0;40;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Rasberi (Raspberry);6.5;26.2;33;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Stroberi;2.0;58.8;12;Buah;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
