Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan
Apple  ;1.3;4.0;38;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Apricot  ;2.0;10.0;1926;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Avocado ;6.7;10.0;146;Buah;0;0;1;0;Kardiovaskular, Kolesterol
Banana  ;2.6;8.7;64;Buah;0;1;1;1;Masalah Pencernaan, Energi
Blackberries ;5.3;21.0;214;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Blueberry  ;2.4;9.7;54;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Carambola or Starfruit;2.8;34.4;61;Buah;1;1;0;1;Imunitas, Detoksifikasi
Cherimoya fruit ;3.0;12.6;5;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Cherry fruit  ;2.1;7.0;64;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Clementine;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi
Cranberries;4.6;13.3;60;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Currants Black;0.0;181.0;230;Buah;1;1;0;1;Imunitas, Detoksifikasi
Currants, Red and White;4.3;41.0;42;Buah;1;1;0;1;Imunitas, Detoksifikasi
Dates, deglet noor;8.0;0.4;10;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Dates, medjool;6.7;0.0;149;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Durian ;3.8;19.7;44;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Figs, raw;2.9;2.0;142;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Grapefruit, pink and red;1.6;31.2;1150;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Grapefruit, white;1.1;33.3;33;Buah;1;1;0;1;Imunitas, Detoksifikasi
Grapes, red or green;0.9;10.8;66;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Groundcherries or Cape Gooseberries;0.0;11.0;720;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Guava  ;5.4;228.3;624;Buah;1;1;0;1;Imunitas, Detoksifikasi
Gooseberries;4.3;27.7;290;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Jackfruit ;1.6;6.7;297;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Kiwifruit, gold;2.0;105.4;72;Buah;1;1;0;1;Imunitas, Detoksifikasi
Kiwifruit, green;3.0;92.7;87;Buah;1;1;0;1;Imunitas, Detoksifikasi
Kumquat ;6.5;43.9;290;Buah;1;1;0;1;Imunitas, Detoksifikasi
Lemon with peel;4.7;77.0;30;Buah;-1;1;-1;0;Imunitas, Vitamin C
Lime ;2.8;29.1;50;Buah;-1;1;-1;0;Imunitas, Vitamin C
